"Date","Description","ChkRef","Amount","Balance"
"02/05/2020","Merkle Inc.-OSV EDIPYMENTS 002cX5","","$1,452.65","$1,451.09"
"02/05/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 615508","","-$8.11","$1,442.98"
"02/06/2020","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY AR 31680047 201906","","-$17.09","$1,425.89"
"02/07/2020","XX4125 POS PURCHASE TACO BELL 036397 CONWAY AR 0363002 024578","","-$5.53","$1,420.36"
"02/07/2020","A CLOUD GURU LTD IAT PAYPAL 1007941084552","","-$29.00","$1,391.36"
"02/10/2020","XX4125 POS PURCHASE MURPHY6799ATWALM CONWAY AR 92707401 916154","","-$1.41","$1,389.95"
"02/10/2020","XX4125 POS PURCHASE WENDY&#39;S 51 CONWAY AR 59662009 900151","","-$5.53","$1,384.42"
"02/10/2020","XX4125 POS PURCHASE SONIC DRIVE IN # CONWAY AR 1 072896","","-$6.21","$1,378.21"
"02/10/2020","XX4125 POS PURCHASE ANDYS FROZEN CUS CONWAY AR 00C40406 010227","","-$7.88","$1,370.33"
"02/10/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062512 512217","","-$13.43","$1,356.90"
"02/10/2020","XX4125 POS PURCHASE SPORT CLIPS - AR CONWAY AR 47355651 055651","","-$22.00","$1,334.90"
"02/10/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062512 512184","","-$28.70","$1,306.20"
"02/10/2020","XX4125 POS PURCHASE MURPHY6799ATWALM CONWAY AR 92707401 842384","","-$32.89","$1,273.31"
"02/10/2020","PAYPAL INST XFER APPLE.COM BILL","","-$29.99","$1,243.32"
"02/11/2020","XX4125 POS PURCHASE TACO BELL 036397 CONWAY AR 0363002 008281","","-$5.53","$1,237.79"
"02/11/2020","XX4125 POS PURCHASE THE INDIAN FEAST LITTLE ROCK AR 02479259 006954","","-$9.98","$1,227.81"
"02/11/2020","XX4125 POS PURCHASE Sekisui of Littl 501-2217070 AR 70701770 020479","","-$16.28","$1,211.53"
"02/12/2020","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 054899","","-$5.44","$1,206.09"
"02/12/2020","XX4125 POS PURCHASE THE INDIAN FEAST LITTLE ROCK AR 02479259 069289","","-$11.00","$1,195.09"
"02/12/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062520 520401","","-$30.42","$1,164.67"
"02/13/2020","XX4125 POS PURCHASE MAPCO 7526 545 E CONWAY AR 99999999 126759","","-$11.30","$1,153.37"
"02/14/2020","XX4125 POS PURCHASE THE INDIAN FEAST LITTLE ROCK AR 02479259 085987","","-$9.98","$1,143.39"
"02/14/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062524 524236","","-$33.74","$1,109.65"
"02/18/2020","XX4125 POS PURCHASE MCDONALD&#39;S F2991 CONWAY AR 1 068069","","-$3.89","$1,105.76"
"02/18/2020","XX4125 POS PURCHASE MCDONALD&#39;S F2991 CONWAY AR 1 068198","","-$3.89","$1,101.87"
"02/18/2020","XX4125 POS PURCHASE WAL-MART #0005 CONWAY AR 24000501 901043","","-$4.00","$1,097.87"
"02/18/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062525 525555","","-$4.92","$1,092.95"
"02/18/2020","XX4125 POS PURCHASE STARBUCKS STORE CONWAY AR 00000000 053930","","-$5.17","$1,087.78"
"02/18/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062513 513070","","-$10.66","$1,077.12"
